# id	length	x	y	z	rot_z	rot_y	rot_x
0	0.22	0.0	4.8	0	0	0	0
1	0.22	0.8	4.8	0	0	0	0
2	0.22	1.6	4.8	0	0	0	0
3	0.22	2.4	4.8	0	0	0	0
4	0.22	0.0	4.0	0	0	0	0
5	0.22	0.8	4.0	0	0	0	0
6	0.22	1.6	4.0	0	0	0	0
7	0.22	2.4	4.0	0	0	0	0
8	0.22	0.0	3.2	0	0	0	0
9	0.22	0.8	3.2	0	0	0	0
10	0.22	1.6	3.2	0	0	0	0
11	0.22	2.4	3.2	0	0	0	0
12	0.22	0.0	2.4	0	0	0	0
13	0.22	0.8	2.4	0	0	0	0
14	0.22	1.6	2.4	0	0	0	0
15	0.22	2.4	2.4	0	0	0	0
16	0.22	0.0	1.6	0	0	0	0
17	0.22	0.8	1.6	0	0	0	0
18	0.22	1.6	1.6	0	0	0	0
19	0.22	2.4	1.6	0	0	0	0
20	0.22	0.0	0.8	0	0	0	0
21	0.22	0.8	0.8	0	0	0	0
22	0.22	1.6	0.8	0	0	0	0
23	0.22	2.4	0.8	0	0	0	0
24	0.22	0.0	0.0	0	0	0	0
25	0.22	0.8	0.0	0	0	0	0
26	0.22	1.6	0.0	0	0	0	0
27	0.22	2.4	0.0	0	0	0	0
